GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US370810127032,370810127032,"Block Group 2, Census Tract 127.03, Guilford County, North Carolina",1086,346,591,276,322,186,77,115,0,12,0,12,39,62,57,70,0,12,57,70
1500000US370810127033,370810127033,"Block Group 3, Census Tract 127.03, Guilford County, North Carolina",1769,424,922,281,590,280,0,12,257,160,0,12,0,12,0,12,0,12,0,12
1500000US370810127041,370810127041,"Block Group 1, Census Tract 127.04, Guilford County, North Carolina",685,201,273,103,326,179,6,11,73,107,0,12,0,12,7,11,0,12,7,11
1500000US370810127042,370810127042,"Block Group 2, Census Tract 127.04, Guilford County, North Carolina",1742,463,400,247,841,342,0,12,357,190,0,12,19,23,125,166,0,12,125,166
1500000US370810127043,370810127043,"Block Group 3, Census Tract 127.04, Guilford County, North Carolina",1252,275,402,160,679,224,0,12,113,150,0,12,0,12,58,57,0,12,58,57
1500000US370810127051,370810127051,"Block Group 1, Census Tract 127.05, Guilford County, North Carolina",1453,338,34,32,1373,324,0,12,15,23,0,12,0,12,31,38,0,12,31,38
1500000US370810127052,370810127052,"Block Group 2, Census Tract 127.05, Guilford County, North Carolina",1923,324,24,25,1871,311,0,12,0,12,0,12,0,12,28,45,0,12,28,45
1500000US370810127061,370810127061,"Block Group 1, Census Tract 127.06, Guilford County, North Carolina",1976,416,183,167,1680,342,0,12,0,12,0,12,13,21,100,153,0,12,100,153
1500000US370810127062,370810127062,"Block Group 2, Census Tract 127.06, Guilford County, North Carolina",1891,485,237,141,1509,521,0,12,0,12,104,130,10,16,31,47,0,12,31,47
1500000US370810127071,370810127071,"Block Group 1, Census Tract 127.07, Guilford County, North Carolina",862,274,162,126,482,192,69,86,0,12,0,12,130,164,19,25,16,25,3,6
1500000US370810127072,370810127072,"Block Group 2, Census Tract 127.07, Guilford County, North Carolina",1943,358,118,92,1643,431,0,12,0,12,0,12,167,209,15,18,0,12,15,18
1500000US370810128031,370810128031,"Block Group 1, Census Tract 128.03, Guilford County, North Carolina",2741,608,962,300,1779,584,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US370810128032,370810128032,"Block Group 2, Census Tract 128.03, Guilford County, North Carolina",5804,718,1811,516,3452,610,0,17,302,426,0,17,97,150,142,141,0,17,142,141
1500000US370810128041,370810128041,"Block Group 1, Census Tract 128.04, Guilford County, North Carolina",2176,417,284,210,1791,415,0,12,22,41,0,12,56,63,23,29,0,12,23,29
