GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810165062,370810165062,"Block Group 2, Census Tract 165.06, Guilford County, North Carolina",41.4,9.6,34.4,17.1,42.7,10.2
1500000US370810165063,370810165063,"Block Group 3, Census Tract 165.06, Guilford County, North Carolina",33.4,6.1,32.5,13.3,33.4,9.1
1500000US370810166001,370810166001,"Block Group 1, Census Tract 166, Guilford County, North Carolina",51.0,3.4,52.6,6.9,50.6,3.2
1500000US370810167011,370810167011,"Block Group 1, Census Tract 167.01, Guilford County, North Carolina",39.5,14.0,39.6,18.0,38.8,16.3
1500000US370810167012,370810167012,"Block Group 2, Census Tract 167.01, Guilford County, North Carolina",55.3,5.5,55.1,20.1,57.3,6.5
1500000US370810167013,370810167013,"Block Group 3, Census Tract 167.01, Guilford County, North Carolina",29.9,28.9,55.3,50.5,22.5,19.0
1500000US370810167021,370810167021,"Block Group 1, Census Tract 167.02, Guilford County, North Carolina",50.5,4.1,49.4,11.8,51.8,4.8
1500000US370810167022,370810167022,"Block Group 2, Census Tract 167.02, Guilford County, North Carolina",49.9,6.0,51.6,4.9,46.1,6.5
1500000US370810168001,370810168001,"Block Group 1, Census Tract 168, Guilford County, North Carolina",44.8,20.0,44.2,13.3,56.1,26.3
1500000US370810168002,370810168002,"Block Group 2, Census Tract 168, Guilford County, North Carolina",57.6,8.3,60.1,22.9,55.3,8.2
1500000US370810168003,370810168003,"Block Group 3, Census Tract 168, Guilford County, North Carolina",55.4,4.8,57.0,9.7,54.8,7.6
1500000US370810168004,370810168004,"Block Group 4, Census Tract 168, Guilford County, North Carolina",45.9,9.5,41.1,9.4,51.4,16.6
1500000US370810169001,370810169001,"Block Group 1, Census Tract 169, Guilford County, North Carolina",52.6,4.2,52.3,4.2,54.8,6.4
1500000US370810169002,370810169002,"Block Group 2, Census Tract 169, Guilford County, North Carolina",44.8,3.9,44.7,3.7,44.8,5.4
1500000US370810170001,370810170001,"Block Group 1, Census Tract 170, Guilford County, North Carolina",49.7,10.3,49.3,15.0,51.1,9.2
1500000US370810170002,370810170002,"Block Group 2, Census Tract 170, Guilford County, North Carolina",46.8,4.1,44.2,6.0,52.2,3.9
1500000US370810171001,370810171001,"Block Group 1, Census Tract 171, Guilford County, North Carolina",49.2,9.8,49.0,12.5,49.3,10.3
1500000US370810171002,370810171002,"Block Group 2, Census Tract 171, Guilford County, North Carolina",53.6,3.8,51.3,7.3,54.4,2.7
1500000US370810171003,370810171003,"Block Group 3, Census Tract 171, Guilford County, North Carolina",46.9,13.7,43.5,18.7,50.6,13.9
1500000US370810172001,370810172001,"Block Group 1, Census Tract 172, Guilford County, North Carolina",39.8,5.3,36.9,11.1,40.2,4.9
1500000US370810172002,370810172002,"Block Group 2, Census Tract 172, Guilford County, North Carolina",54.4,12.1,44.5,27.6,55.0,5.1
1500000US370810172003,370810172003,"Block Group 3, Census Tract 172, Guilford County, North Carolina",47.8,6.1,48.6,5.1,45.6,10.4
1500000US370819801001,370819801001,"Block Group 1, Census Tract 9801, Guilford County, North Carolina",-,**,-,**,-,**
